song_title,lyrics
And I Say to Myself(David Bowie with The Lower Third) ,"And I say to myself
I've got it wrong, wrong, wrong
She is a play-girl
She the wrong wrong girl for me
And I say to myself
You're a fool, fool, fool
She doesn't love you
She doesn't need you, this I know

She's got a trail of men that she takes
Wherever she goes
She hasn't the strength to love any single man for a length of time

(And I say to myself)
Ooh, I don't stand a chance
(And I say to myself)
It's a long long romance
(And I say to myself)
Well, she's out to slay
(And I say to myself)
Well, she's got it made
(And I say to myself)
Oh yeah, oh yeah
(And I say to myself)
Oh yeah

And I say to myself that she shouldn't love anybody else in the world but me
And I say to myself
Forget her now, now, now
She don't want you
She don't love you anymore
And I say to myself you're a fool, fool, fool
She's don't love you
She don't need you, this I know

And I turn around and look at myself
You'll never get her, you're a fool
Say after me I'm a fool- I'm a fool

(And I say to myself)
I can't get what I want
(And I say to myself)
And it makes me sad
(And I say to myself)
I can't get what I want
(And I say to myself)
And it makes me mad
(And I say to myself)
Oh yeah, oh yeah
(And I say to myself)
Oh yeah

And I say to myself that she shouldn't love anybody else in the world but me,
Yeah
Yeah

(And I say to myself)
Oh, I feel so sad
(And I say to myself)
She's making me mad
(And I say to myself)
And I say to myself
(And I say to myself)
That I love her
(And I say to myself)
And I say to myself that I need her
(And I say to myself)
Oh, I need her

And I say to myself I'm a fool
And I say to myself"
Come and Buy My Toys,"Smiling girls and rosy boys 
Come and buy my little toys 
Monkeys made of gingerbread 
And sugar horses painted red 

Rich men's children running past 
Their fathers dressed in hose 
Golden hair and mud of many acres on their shoes 
Gazing eyes and running wild 
Past the stocks and over stiles 
Kiss the window merry child 
But come and buy my toys 

You've watched your father plough the fields with a ram's horn 
Sowed it wide with peppercorn and furrowed with a bramble thorn 
Reaped it with a sharpened scyth, threashed it with a quill 
The miller told your father that he'd work it with the greatest will 
Now your watching's over you must play with girls and boys 
Leave the parsley on the stalls 
Come and buy my toys 

You shall own a cambric shirt 
You shall work your father's land 
But now you shall play in the market square 
Till you'll be a man 

Smiling girls and rosy boys 
Come and buy my little toys 
Monkeys made of gingerbread 
And sugar horses painted red"
Maid of Bond Street,"This girl is made of lipstick 
Powder and paint 
Sees the pictures of herself 
Every magazine on every shelf 

This girl is maid of Bond Street 
Hailing cabs, lunches with executives 
Gleaming teeth sip aperitifs 

This girl is a lonely girl 
Takes the train from Paddington to Oxford Circus 
Buys the Daily News 
But passengers don't smile at her, don't smile at her 

This girl is made of loneliness 
A broken heart 
For the boy that she once knew 
Doesn't want to know her any more 

And this girl is a lonely girl 
Every thing she wants is hers 
But she can't make it with the boy she really wants to be with 
All the time, to love, all the time 

This boy is made of envy 
Jealousy 
He doesn't have a limousine 
Really wants to be a star himself 

This girl, her world is made of flashlights and films 
Her cares are scraps on the cutting room floor 

And maids of Bond Street drive round in chauffered cars 
Maids of Bond Street picture clothes, eyes of stars 
Maids of Bond Street shouldn't have worldly cares 
Maids of Bond Street shouldn't have love affairs"
Please Mr. Gravedigger,"There's a little churchyard just along the way
It used to be Lambeth's finest array
Of tombstones, epitaphs, wreaths, flowers all that jazz
Till the war came along and someone dropped a bomb on the lot

And in this little yard, there's a little old man
With a little shovel in his little bitty hand
He seems to spend all his days puffing fags and digging graves
He hates the reverend vicar and he lives all alone in his home

""Ah-choo, excuse me""

Please Mr. Gravedigger, don't feel ashamed
As you dig little holes for the dead and the maimed
Please Mr. Gravedigger, I couldn't care
If you found a golden locket full of some girl's hair
And you put it in your pocket

""God, it's pouring down""

Her mother doesn't know about your sentimental joy
She thinks it's down below with the rest of her toys
And Ma wouldn't understand, so I won't tell
So keep your golden locket all safely hid away in your pocket

Yes, Mr. GD, you see me every day
Standing in the same spot by a certain grave
Mary-Ann was only 10, full of life and oh so gay
And I was the wicked man who took her life away
Very selfish, Oh God

No, Mr. GD, you won't tell
And just to make sure that you keep it to yourself
I've started digging holes my friend
And this one here's for you

""Lifted our girl, she apparently doesn't know of it
Hello misses, thought she'd be a little girl
Bloody obscene, catch pneumonia or something in this rain"""
Sell Me a Coat,"La la la la la la
La la la la la la la

A winter's day, a bitter snowflake on my face 
My summer girl takes little backward steps away 
Jack Frost took her hand and left me
Jack Frost ain't so cool 

Sell me a coat with buttons of silver 
Sell me a coat that's red or gold 
Sell me a coat with little patch pockets 
Sell me a coat 'cause I feel cold 

And when she smiles, the ice forgets to melt away 
Not like before, her smile was warming yesterday 
See the trees like silver candy, feel my icy hand 

Sell me a coat with buttons of silver 
Sell me a coat that's red or gold 
Sell me a coat with little patch pockets 
Sell me a coat 'cause I feel cold 

See my eyes, my window pane 
See my tears like gentle rain 
That's the memory of a summer day 

Sell me a coat with buttons of silver 
Sell me a coat that's red or gold 
Sell me a coat with little patch pockets 
Sell me a coat 'cause I feel cold 

Sell me a coat with buttons of silver 
Sell me a coat that's red or gold 
Sell me a coat with little patch pockets 
Sell me a coat 'cause I feel cold 

La la la la la la (repeat)"
Did You Ever Have a Dream,"Did you ever have a dream or two
Where the hero is a guy named you
And the things he does are just too much
Does he fly like Mr. Superman, speak Chinese, French and Dutch?
And did you ever have a dream or two?

Have you ever woken up one day
With the feeling that you'd been away?
If the girl that you dreamed of last night
Had the same dream, in the very same scene
With the very same boy, hold tight

It's a very special knowledge that you've got, my friend
You can travel anywhere with anyone you care
It's a very special knowledge that you've got, my friend
You can walk around in New York while you sleep in Penge

I will travel round the world one night
On the magic wings of astral flight
If you've got the secret, tell me do
Have you ever had a dream or two?
Have you ever had a dream or two?"
Little Bombardier,"War made him a soldier 
Little Frankie Mear 
Peace left him a loser 
The little bombardier 

Lines of worry appeared with age 
Unskilled hands that knew no trade 
Spent his time in the picture house 
The little bombardier 

Frankie drank his money 
The little that he made 
Told his woes to no man 
Friendless, lonely days 

Then one day, in the ABC 
Four bright eyes gazed longingly 
At the ice-cream in the hand of 
The little bombardier 

Sunshine entered our Frankie's days 
Gone his worries, his hopeless maze 
His life was fun and his heart was full of joy 

Two young children had changed his aims 
He gave them toffees and played their games 
He brought them presents with every coin he made 

Then two gentlemen called on him 
Asked him for his name 
Why was he friends with the children 
Were they just a game? 

Leave them alone or we'll get sore 
We've had blokes like you in the station before 
The hand of authority said ""no more"" to 
The little bombardier 

Packed his bags, his heart in pain 
Wiped a tear and caught a train 
Not to be seen in the town again 
The little bombardier"
Let Me Sleep Beside You,"Baby, baby, brush the dust of youth from off your shoulder,
Because the years of threading daisies lie behind you now.
Don't return to fields of green where rainbow secrets were told.
Place your ragged doll with all the toys and paints and beads.
I will show you games where the winner never wins.

Let your hair hang down.
Wear the dress your mother wore.
Let me sleep beside you.

Lock away your childhood and throw away the key,
For now the streets and city sounds will burn your eyes as coals.
We shall drink the oldest wine, and velvet skies will linger.
Child, you're a woman now, your heart and soul are free.
I will hold a lighted lamp, and we shall walk together.

Let your hair hang down.
Wear the dress your mother wore.
Let me sleep beside you.

Your darkened eyes throw mystery,
But your lips are void of history.
You could not imagine that it could happen this way, could you?

I will give you dreams,
And I'll tell you things you'd like to hear.

Let your hair hang down.
Wear the dress your mother wore.
Let me sleep beside you.

Let me sleep beside you."
The Laughing Gnome ,"I was walking down the high street,
When I heard footsteps behind me.
And there was a little old man (Hello!)
In scarlet and gray, chuckling away

Well he trotted back to my house
And he sat beside the telly (Ah!)
With his tiny hands on his tummy
Chuckling away, laughing all day

""I ought to report you to the Gnome Office.""
""Gnome Office? Ahahahah!""

Ha, ha, ha, hee, hee, hee
I'm a laughing gnome and you can't catch me
Ha, ha, ha, hee, hee, hee
I'm a laughing gnome and you can't catch me,
Said the laughing gnome

Well I gave him roasted toadstools,
And a glass of dandelion wine. (*burp* Pardon...)
Then I put him on a train to Eastbourne.
Carried his bag, and gave him a fag.

""Have you got a light, boy?""
""Here, where do you come from?""
""Gnome-man's land, heehee!""
""Oh, really?""

In the morning, when I woke up,
He was sitting on the edge of my bed,
With his brother, whose name was Fred.
He'd brought him along to sing me a song.

""All right, let's hear it... 'ere, what's that clicking noise?""
""That's Fred, he's a metro-gnome, haha!""

Ha, ha, ha, hee, hee, hee
I'm a laughing gnome and you can't catch me
Ha, ha, ha, hee, hee, hee
I'm a laughing gnome and you can't catch me

""Oh now, I'm a gnome, anyway, haha!""
""Haven't you got a home to go to?""
""No, we are gnome-ads, hehe!""
""Didn't they teach you to get your hair cut at school? You look like a rolling gnome.""
""Nah, not at the London school of Eco-gnome-ics.""

Now they're staying up me chimney,
And we're living on caviar and honey (Hurray!)
'Cause they're earning me lots of money
Writing comedy prose for radio shows

""It's the, errrr... it's the gnome-service, yes, of course!""

Ha, ha, ha, hee, hee, hee
I'm a laughing gnome and you can't catch me
Ha, ha, ha, hee, hee, hee
(Oh, dear me...)
I'm a laughing gnome and you can't catch me
(One more time!)
Ha, ha, ha, hee, hee, hee
I'm a laughing gnome and you can't catch me"
Karma Man,"Fingertips sun at sideshow stalls, they throw the balls
At coconut furs that hide behind coloured shades that blind your eyes
Every child's mother holds an ice cream cone, they circle round
Perceived unknown by an eye that peers from a hole in a tent where no one goes
A figure sitting cross-legged on the floor 
He's cloaked and clothed in saffran robes, his beads are all he owns

Slow down, slow down
Someone must have said let's slow him down
Slow down, slow down
It's pictured on the arms of the karma man

Fairy tale skin depicting scenes from human zoos
Impermanent toys like peace and war, a gentle face you've seen before
Karma man tattooed on your side, the wheel of life
I see my times and who I've been, I only live now and I don't know why
I struggle hard to take these pictures in, but
All my friends can see is just the pinkness of his skin

Slow down, slow down
Someone must have said let's slow him down
Slow down, slow down
It's pictured on the arms of the karma man"
Join the Gang,"Let me introduce you to the gang
Johnny plays the sitar, he's an existentialist
Once he had a name, now he plays our game
You won't feel so good now that you've joined the gang

Molly is the model in the ads
Crazy clothes and acid full of soul and crazy hip
Someone switched her on, then her beam went wrong
'Cause she can't switch off now that she's joined the gang

Arthur is a singer with a band
Arthur drinks two bottles just before he goes on stage
Look at Arthur rave, all the kids are paid
They want to see the croaking man who joined the gang

You won't be alone, we've all got beery grins
It's a big illusion but at least you're in
At least you're in

This club's called The Webb, it's this month's pick
Next month we shall find a place where prices aren't so stiff
15 bob a coke, 'fraid that's past a joke
This is how to spend now that you've joined the gang

This is what to do now that you're here
Sit round doing nothing all together very fast
Psychedelic stars, throwing down cigars
They're picking up the joints now that they've joined the gang"
Love You till Tuesday,"Just look through your window, look who sits outside
Little me is waiting, standing through the night
When you walk out through your door, I'll wave my flag and shout

Oh, beautiful baby
My burning desire started on Sunday
Give me your heart and I'll love you till Tuesday

Who's that hiding in the apple tree, clinging to a branch
Don't be afraid, it's only me, hoping for a little romance
If you lie beneath my shade, I'll keep you nice and cool

Oh, beautiful baby
I was very lonely till I met you on Sunday
My passion's never-ending and I'll love you till Tuesday

Let the wind blow through your hair, be nice to the big blue sea
Don't be afraid of the man in the moon, because it's only me
I shall always want you until my love runs dry

Oh, beautiful baby
My heart's aflame, I'll love you till Tuesday
My head's in a whirl and I'll love you till Tuesday
Love, love, love, love you till Tuesday
Love, love, love, love you till Tuesday

Well, I might be able to stretch it till Wednesday"
Silly Boy Blue,"Mountains of Lhasa are feeling the rain
People are walking the Potala lanes
Preacher takes the school
One boy breaks a rule

Silly Boy Blue, blue
Silly Boy Blue

Yak butter statues that melt in the sun
Cannot dissolve all the work you've not done
A chela likes to feel
That his overself pays the bill

Silly Boy Blue, Blue
Silly Boy Blue

You wish and wish, and wish again
You've tried so hard to fly
You'll never leave your body now
You've got to wait to die

La la la la la, la la, la la la la
La la la la la, la la, la la la la
La la la, la la 
La la la, la la 
Silly Boy Blue, blue
Silly Boy Blue

Child of Tibet, you're a gift from the sun
Reincarnation of one better man
The homeward road is long
You've left your prayers and song

Silly Boy Blue, blue
Silly Boy Blue
Silly Boy Blue 
Silly Boy Blue"
The Gospel According to Tony Day,"The gospel according to Tony Day (x3)
If I find a girl he'll take her away
Rotten Tony

The gospel according to Brendan O'Lear (x3)
If I buy him a scotch he'll buy me a beer
Tight fist, friends

The gospel according to Pat Hewitt (x3)
If it's written on a sweater then I'd better not do it
Gotta gotta, your mind, blow it, blow it

The gospel according to Marianne Brent (x3)
She'll be mine if I pay the rent
Good old Marianne, who needs friends, oh

Waste of flippin' time, take a look at my life and you'll see
Take a quick, butchers, rotten Harry down the hall
Wouldn't give me tuppence for him"
There Is a Happy Land,"There is a happy land where only children live 
They don't have the time to learn the ways 
Of you sir, Mr. Grownup 

There's a special place in the rhubarb fields underneath the leaves 
It's a secret place and adults aren't allowed there, Mr. Grownup 
Go away, sir 

Charlie Brown got's half a crown, he's gonna buy a kite 
Jimmy's ill with chicken pox, and Tommy's learned to ride his bike 
Tiny Tim sings prayers and hymns, he's so small we don't notice him 
He gets in the way but we always let him play with us 

Mother calls, but we don't hear 
There's lots more things to do 
It's only 5 o'clock, and we're not tired yet 
But we will be, very shortly 

Sissy Steven plays with girls, someone made him cry 
Tony climbed a tree and fell, trying hard to touch the sky 
Tommy lit a fire one day, nearly burned the field away 
Tommy's mum found out, but he put the blame on me and Ray 

There is a happy land where only children live 
You've had your chance and now the doors are closed sir, Mr. Grownup 
Go away, sir 

Boo, de boo, de boo, de boo dup"
When I Live My Dream,"When I live my dream, I'll take you with me 
Riding on a golden horse 
We'll live within my castle, with people there to serve you 
Happy at the sound of your voice 

Maybe I'll slay a dragon for you 
Or banish wicked giants from the land 
But you will find that nothing in my dream can hurt you 
We will only love each other as forever 
When I live my dream 

When I live my dream, I'll forgive the things you've told me 
And the empty man you left behind 
It's a broken heart that dreams
It's a broken heart you left me 
Only love can live in my dream 

I'll wish, and the thunder clouds will vanish 
Wish, and the storm will fade away 
Wish again, and you will stand before me
While the sky will paint an overture 
And trees will play the rhythm of my dream 

When I live my dream, please be there to meet me 
Let me be the one to understand 
When I live my dream, I'll forget the hurt you gave me 
Then we can live in our new land 

Till the day my dream cascades around me
I'm content to let you pass me by
Till that day, you'll run to many other men
But let them know it's just for now
Tell them that I've got a dream
And tell them you're the starring role
Tell them I'm a dreaming kind of guy
And I'm gonna make my dream
Tell them I will live my dream
Tell them they can laugh at me
But don't forget your date with me
When I live my dream..."
Uncle Arthur,"Strikes the bell for 5 o'clock, Uncle Arthur closes shop 
Screws the tops on all the bottles, turns the lights out, locks it up 
Climbs across his bike and he's away 
Cycles past the gasworks, past the river, down the high street 
Back to mother, it's another empty day 

Uncle Arthur likes his mommy 
Uncle Arthur still reads comics 
Uncle Arthur follows Batman 

Round and round the rumours fly, how he ran away from Mum 
On his 32nd birthday, told her that he'd found a chum 
Mother cried and raved and yelled and fussed 
Arthur left her no illusion, brought the girl round, save confusion 
Sally was the real thing, not just lust 

Uncle Arthur vanished quickly 
Uncle Arthur and his new bride 
Uncle Arthur follows Sally 

Round and round goes Arthur's head, hasn't eaten well for days 
Little Sally may be lovely, but cooking leaves her in a maze 
Uncle Arthur packed his bags and fled 
Back to mother, all's forgiven, serving in the family shop 
He gets his pocket money, he's well fed 

Uncle Arthur past the gasworks 
Uncle Arthur past the river 
Uncle Arthur down the high street 
Uncle Arthur follows mother"
We Are Hungry Men,"Here is the news:
According to the latest world population survey,
Figures have reached danger point, my god!
London: 15 million 75 thousand.
New York: 80 million.
Paris: 15 million and 30.
China: 1000 million.
Billington-Spa: lots!

My studies include exophagy.
I formed my own society,
To crush the power of fecundity.
The world will overpopulate,
Unless you claim infertility.
So who will buy a drink for me, your Messiah?

We are not your friends.
We don't give a damn for what you're saying.
We're here to live our lives.

I propose to give the pill
Free of charge to those that feel 
That they are not infertible.
The crops of few, the cattle gun.
There's only one way to linger on.
So who will buy a drink for me, your Messiah?

We are not your friends.
We don't give a damn for what you're saying.
We're here to live our lives.

Achtung, achtung! These are your orders:
Anyone found guilty of consuming more than their allotted amount of air 
Will be slaughtered and cremated.
Only one cubic foot of air is allowed...
I've prepared a document legalising mass abortion.
We will turn a blind eye to infanticide.

We are not your friends.
We don't give a damn for what you're saying.
We're here to live our lives.

You don't seem to hear me clear.
Do I talk above your sphere? 
Let me explain my project, dear,
Show you how I'll save the world,
Or let it die within the year.
Why do you look that way at me, your Messiah?

We are not your friends.
We don't give a damn for what you're saying.
We're here to live our lives.

We are hungry men.
We don't give a damn for what you're saying.
We're here to eat you."
When I'm Five,"When I'm five
I will wash my face me hands all by myself
When I'm five
I will chew and spit tobacco like my grandfather Jones
'Cause I'm only four and five is far away

When I'm five
I will read the magazines in mummy's drawer
When I'm five
I will walk behind the soldiers in the May Day parade
'Cause I'm only four and grown-ups walk too fast

Yesterday was horrid day, 'cause Raymond kicked my shin
And mummy says if I am good, she'll let me go to school in August
Daddy shouted loud at mummy and I dropped my toast at breakfast
And I laughed when Bonzo licked my face, because it tickled
I wonder why my daddy cries and how I wish that I was nearly five

When I'm five
I will catch a butterfly and eat it and I won't be sick
When I'm five
I will jump in puddles, laugh in church and marry my mum
And I'll let my daddy do the washing-up

If I close one eye, the people on that side can't see me
I get headaches in the morning and I rode on Freddie's tricycle
And everywhere was funny, when I ran down to the sweetshop
Then I fell and bleeded-up my knee and everybody soppied me

I saw a photograph of Jesus and I asked him if he'd make me five
I saw a photograph of Jesus and I asked him if he'd make me five
When I'm five
When I'm five
When I'm oah"
In the Heat of the Morning,"The blazing sunset in your eyes will tantalize
Every man who looks your way
I'll watch them sink before your gaze
Senjorita sway
Dance with me before their frozen eyes
I'm so much in love like a ragged soldier
Catching butterflies

No man loved like I love you
Wouldn't you like to love me too?

In the heat of the morning
In the shadows I'll clip your wings
And I'll tell you I love you
In the heat of the morning

I'll tie a knot in rainbow's end, organise the breeze
Light my candle from the sun
I'll give you daylight for a friend, I'll do all of these
I'll prove that it can be done
Oh I'm so much in love like the little boy
Who races with the wind

No man loved like I love you
Wouldn't you like to love me too?

In the heat of the morning
In the shadows I'll clip your wings
And I'll tell you I love you
In the heat of the morning"
London Bye Ta-Ta,"London bye ta-ta
Strange young town
London bye ta-ta
Brought me down
Don't like your new face
That's not nice
Got to go far, far
London bye ta-ta

Gigi, Gigi, Gigi, Gigi
Take me away
Gigi, Gigi, Gigi, Gigi
Take me today
The boys in the clothes shop
Sold me curry for a pound
His cardboard face is soggy,
And his sellings thorny crown

I loved her!
I loved her!
I've got to get away,
But I loved her!

Oh-oh-oh
London bye ta-ta
Strange young town
London bye ta-ta
Brought me down
Don't like your new face
That's not nice
Got to go far, far
London bye ta-ta

Red light, green light
Make up your mind
Red light, green light
You're far too un-kind
She loves to love all beauty,
And she says the norm is funny
But she whimpers in the morning
When she finds she has no money

I loved her!
I loved her!
I've got to get away now,
But I loved her!
Ah!

Oh-oh-oh
London bye ta-ta
Strange young town
London bye ta-ta
Brought me down
Don't like your new face
That's not nice
Got to go far, far
London bye ta-ta
Ah

Oh-oh-oh
London bye ta-ta
Strange young town
London bye ta-ta
Brought me down
Don't like your new face
That's not nice
Got to go far, far
London bye ta-ta
Oh, London bye ta-ta
Oh, London bye ta-ta
Oh, eh"
